Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
			acquisition-dwiVARIANTObliquity_datatype-fmap_direction-AP_run-01_suffix-epi	acquisition-VARIANTObliquity_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi__2	acquisition-VARIANTObliquity_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	2				1	1	1	1	1	1	1	23	140	140	81	0.089	0.000689998	47	90	FALSE	LAS+		fmap		81	1	FALSE		1	0.75	j-	12.4	0.0959097	FALSE	1.7142857313156128	1.7142857313156128	1.7000000476837158
			acquisition-fmriVARIANTObliquity_datatype-fmap_direction-PA_run-01_suffix-epi	acquisition-VARIANTObliquity_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__1	acquisition-VARIANTObliquity_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	1				0	0	0	0	0	0	0	24	90	90	60	0.08	0.000510012	46	90	FALSE	LAS+		fmap		60	1	FALSE		1	1	j	7.03	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
			acquisition-dwiVARIANTObliquity_datatype-fmap_direction-PA_run-01_suffix-epi	acquisition-VARIANTObliquity_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__2	acquisition-VARIANTObliquity_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	2				1	1	1	1	1	1	1	22	140	140	81	0.089	0.000689998	46	90	FALSE	LAS+		fmap		81	1	FALSE		1	0.75	j	12.4	0.0959097	FALSE	1.7142857313156128	1.7142857313156128	1.7000000476837158
			acquisition-fmriVARIANTObliquity_datatype-fmap_direction-AP_run-02_suffix-epi	acquisition-VARIANTObliquity_datatype-fmap_direction-AP_fmap-epi_run-02_suffix-epi__1	acquisition-VARIANTObliquity_datatype-fmap_direction-AP_fmap-epi_run-02_suffix-epi	1											1	90	90	60	0.08	0.000510012	1	90	FALSE	LAS+		fmap		60	1	TRUE		1	1	j-	7.03	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
			acquisition-fmriVARIANTObliquity_datatype-fmap_direction-PA_run-02_suffix-epi	acquisition-VARIANTObliquity_datatype-fmap_direction-PA_fmap-epi_run-02_suffix-epi__1	acquisition-VARIANTObliquity_datatype-fmap_direction-PA_fmap-epi_run-02_suffix-epi	1											1	90	90	60	0.08	0.000510012	1	90	FALSE	LAS+		fmap		60	1	TRUE		1	1	j	7.03	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				datatype-func_run-01_suffix-bold_task-rest__1	datatype-func_run-01_suffix-bold_task-rest	1				0	0	0	0	0	0	0	181	90	90	60	0.03	0.000510012	181	52	FALSE	LAS+		func	6	60	522	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				datatype-func_run-01_suffix-bold_task-nback__1	datatype-func_run-01_suffix-bold_task-nback	1				0	0	0	0	0	0	0	177	90	90	60	0.03	0.000510012	177	52	FALSE	LAS+		func	6	60	522	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				datatype-func_run-02_suffix-bold_task-rest__1	datatype-func_run-02_suffix-bold_task-rest	1				0	0	0	0	0	0	0	168	90	90	60	0.03	0.000510012	168	52	FALSE	LAS+		func	6	60	383	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest__1	acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest	1				0	0	0	0	0	0	0	23	90	90	60	0.03	0.000510012	23	52	FALSE	LAS+		func	6	60	522	FALSE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.3999998569488525
				acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest__1	acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest	1				0	0	0	0	0	0	0	22	90	90	60	0.03	0.000510012	22	52	FALSE	LAS+		func	6	60	383	FALSE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.3999998569488525
				acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-nback__1	acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-nback	1				0	0	0	0	0	0	0	20	90	90	60	0.03	0.000510012	20	52	FALSE	LAS+		func	6	60	522	FALSE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.3999998569488525
				datatype-func_run-02_suffix-bold_task-nback__1	datatype-func_run-02_suffix-bold_task-nback	1				0	0	0	0	0	0	0	10	90	90	60	0.03	0.000510012	10	52	FALSE	LAS+		func	6	60	522	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.3999998569488525
				acquisition-VARIANTNumVolumes_datatype-func_run-02_suffix-bold_task-rest__1	acquisition-VARIANTNumVolumes_datatype-func_run-02_suffix-bold_task-rest	1				0	0	0	0	0	0	0	7	90	90	60	0.03	0.000510012	7	52	FALSE	LAS+		func	6	60	522	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				datatype-func_run-03_suffix-bold_task-rest__1	datatype-func_run-03_suffix-bold_task-rest	1				0	0	0	0	0	0	0	6	90	90	60	0.03	0.000510012	6	52	FALSE	LAS+		func	6	60	383	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-VARIANTNumVolumes_datatype-func_run-01_suffix-bold_task-nback__1	acquisition-VARIANTNumVolumes_datatype-func_run-01_suffix-bold_task-nback	1				0	0	0	0	0	0	0	1	90	90	60	0.03	0.000510012	3	52	FALSE	LAS+		func	6	60	521	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-VARIANTNumVolumes_datatype-func_run-01_suffix-bold_task-nback__2	acquisition-VARIANTNumVolumes_datatype-func_run-01_suffix-bold_task-nback	2				0	0	0	0	0	0	0	1	90	90	60	0.03	0.000510012	3	52	FALSE	LAS+		func	6	60	500	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-VARIANTNumVolumes_datatype-func_run-01_suffix-bold_task-nback__3	acquisition-VARIANTNumVolumes_datatype-func_run-01_suffix-bold_task-nback	3				0	0	0	0	0	0	0	1	90	90	60	0.03	0.000510012	3	52	FALSE	LAS+		func	6	60	511	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-nback__1	acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-nback	1				0	0	0	0	0	0	0	3	90	90	60	0.03	0.000510012	3	52	FALSE	LAS+		func	6	60	522	FALSE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.3999998569488525
				acquisition-VARIANTNumVolumesObliquity_datatype-func_run-02_suffix-bold_task-rest__1	acquisition-VARIANTNumVolumesObliquity_datatype-func_run-02_suffix-bold_task-rest	1											1	90	90	60	0.03	0.000510012	1	52	FALSE	LAS+		func	6	60	522	FALSE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.3999998569488525
				acquisition-VARIANTNumVolumes_datatype-func_run-01_suffix-bold_task-rest__1	acquisition-VARIANTNumVolumes_datatype-func_run-01_suffix-bold_task-rest	1											1	90	90	60	0.03	0.000510012	1	52	FALSE	LAS+		func	6	60	522	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-VARIANTNumVolumes_datatype-func_run-02_suffix-bold_task-restfilm__1	acquisition-VARIANTNumVolumes_datatype-func_run-02_suffix-bold_task-restfilm	1											1	90	90	60	0.03	0.000510012	1	52	FALSE	LAS+		func	6	60	522	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-VARIANTNumVolumes_datatype-func_run-03_suffix-bold_task-rest__1	acquisition-VARIANTNumVolumes_datatype-func_run-03_suffix-bold_task-rest	1											1	90	90	60	0.03	0.000510012	1	52	FALSE	LAS+		func	6	60	522	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-VARIANTObliquity_datatype-func_run-03_suffix-bold_task-rest__1	acquisition-VARIANTObliquity_datatype-func_run-03_suffix-bold_task-rest	1											1	90	90	60	0.03	0.000510012	1	52	FALSE	LAS+		func	6	60	383	FALSE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.3999998569488525
				datatype-func_run-01_suffix-bold_task-restfilm__1	datatype-func_run-01_suffix-bold_task-restfilm	1											1	90	90	60	0.03	0.000510012	1	52	FALSE	LAS+		func	6	60	522	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				datatype-func_run-03_suffix-bold_task-restfilm__1	datatype-func_run-03_suffix-bold_task-restfilm	1											1	90	90	60	0.03	0.000510012	1	52	FALSE	LAS+		func	6	60	383	TRUE			1	j	0.8	0.045391	FALSE	2.4000000953674316	2.4000000953674316	2.4000000953674316
				echo-1_run-01_suffix-qsm__1	echo-1_run-01_suffix-qsm	1				0		0		0	0	0	181	120	160	96	0.0075		181	15	FALSE	RAS+		other		0	1	FALSE		2	1	i	0.035		FALSE	1.5	1.5	1.5
				echo-1_run-02_suffix-qsm__1	echo-1_run-02_suffix-qsm	1				0		0		0	0	0	181	120	160	96	0.0075		181	15	FALSE	RAS+		other		0	1	FALSE		2	1	i	0.035		FALSE	1.5	1.5	1.5
				echo-2_run-01_suffix-qsm__1	echo-2_run-01_suffix-qsm	1				0		0		0	0	0	181	120	160	96	0.015		181	15	FALSE	RAS+		other		0	1	FALSE		2	1	i	0.035		FALSE	1.5	1.5	1.5
				echo-2_run-02_suffix-qsm__1	echo-2_run-02_suffix-qsm	1				0		0		0	0	0	181	120	160	96	0.015		181	15	FALSE	RAS+		other		0	1	FALSE		2	1	i	0.035		FALSE	1.5	1.5	1.5
				echo-3_run-01_suffix-qsm__1	echo-3_run-01_suffix-qsm	1				0		0		0	0	0	181	120	160	96	0.0225		181	15	FALSE	RAS+		other		0	1	FALSE		2	1	i	0.035		FALSE	1.5	1.5	1.5
				echo-3_run-02_suffix-qsm__1	echo-3_run-02_suffix-qsm	1				0		0		0	0	0	181	120	160	96	0.0225		181	15	FALSE	RAS+		other		0	1	FALSE		2	1	i	0.035		FALSE	1.5	1.5	1.5
				echo-4_run-01_suffix-qsm__1	echo-4_run-01_suffix-qsm	1				0		0		0	0	0	181	120	160	96	0.03		181	15	FALSE	RAS+		other		0	1	FALSE		2	1	i	0.035		FALSE	1.5	1.5	1.5
				echo-4_run-02_suffix-qsm__1	echo-4_run-02_suffix-qsm	1				0		0		0	0	0	181	120	160	96	0.03		181	15	FALSE	RAS+		other		0	1	FALSE		2	1	i	0.035		FALSE	1.5	1.5	1.5
				datatype-perf_run-01_suffix-asl__1	datatype-perf_run-01_suffix-asl	1	PCASL	TRUE	2	0		0		0	0	0	113	64	64	32	0.01003		113	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		4.29842		FALSE	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan__1	datatype-perf_run-01_suffix-m0scan	1				0		0		0	0	0	113	64	64	32	0.01003		113	90	FALSE	LAS+		perf		0	2	FALSE			1		4		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__1	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	1	PCASL	TRUE	2	0		0		0	0	0	66	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		4.29845		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__2	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	2	PCASL	TRUE	2	0		9		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		5.28614		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__3	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	3	PCASL	TRUE	2	0		5		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		5.92839		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__4	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	4	PCASL	TRUE	2	0		6		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		4.47108		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__5	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	5	PCASL	TRUE	2	0		8		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		5.75174		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__6	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	6	PCASL	TRUE	2	0		2		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		6.78522		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__7	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	7	PCASL	TRUE	2	0		4		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		4.36497		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__8	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	8	PCASL	TRUE	2	0		7		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		4.92427		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__9	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	9	PCASL	TRUE	2	0		3		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		5.62785		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl__10	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-asl	10	PCASL	TRUE	2	0		1		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+	Separate	perf		0	80	FALSE	unbalanced		1		4.75427		FALSE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__1	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	1				0		0		0	0	0	66	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		4		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__2	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	2				0		9		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		4.9633		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__3	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	3				0		5		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		5.5897		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__4	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	4				0		6		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		4.1684		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__5	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	5				0		8		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		5.4174		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__6	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	6				0		2		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		6.4254		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__7	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	7				0		4		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		4.0649		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__8	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	8				0		7		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		4.6104		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__9	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	9				0		3		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		5.2966		TRUE	3.75	3.75	3.75
				acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan__10	acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime_datatype-perf_run-01_suffix-m0scan	10				0		1		0	0	0	1	64	64	32	0.01003		75	90	FALSE	LAS+		perf		0	2	FALSE			1		4.4446		TRUE	3.75	3.75	3.75
