Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
			acquisition-dwiVARIANTDim1SizeDim2SizeDim3SizeNumVolumesObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3ImageOrientation_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__3	acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	3				1	140.0	140.0	81.0	0.089	0.000689998	222	90	False	LAS+		fmap		81	1.0	True			0.75	j	12.4	0.0959097	False	1.7142857313156128	1.7142857313156128	1.7000000476837158
				acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__1	acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	1				210				0.08	0.000510012	212	90	False			fmap		60					1.0	j	7.03	0.045391	False			
			acquisition-fmriVARIANTPhaseEncodingDirection_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__2	acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	2				1				0.08	0.000510012	212	90	False			fmap		60					1.0	i-	7.03	0.045391	False			
			acquisition-fmriVARIANTDim1SizeDim2SizeDim3SizeNumVolumesObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3ImageOrientation_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi__3	acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi	3				1	90.0	90.0	60.0	0.08	0.000510012	212	90	False	LAS+		fmap		60	1.0	True			1.0	j	7.03	0.045391	False	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-fmri_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi__1	acquisition-fmri_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	1				210				0.08	0.000510012	211	90	False			fmap		60					1.0	j-	7.03	0.045391	False			
			acquisition-fmriVARIANTDim1SizeDim2SizeDim3SizeNumVolumesObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3ImageOrientation_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	acquisition-fmri_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi__2	acquisition-fmri_datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi	2				1	90.0	90.0	60.0	0.08	0.000510012	211	90	False	LAS+		fmap		60	1.0	True			1.0	j-	7.03	0.045391	False	2.4000000953674316	2.4000000953674316	2.4000000953674316
				acquisition-fmri_datatype-fmap_direction-AP_fmap-epi_run-02_suffix-epi__1	acquisition-fmri_datatype-fmap_direction-AP_fmap-epi_run-02_suffix-epi	1				1				0.08	0.000510012	1	90	False			fmap		60					1.0	j-	7.03	0.045391	False			
				acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-02_suffix-epi__1	acquisition-fmri_datatype-fmap_direction-PA_fmap-epi_run-02_suffix-epi	1				1				0.08	0.000510012	1	90	False			fmap		60					1.0	j	7.03	0.045391	False			
				datatype-func_run-01_suffix-bold_task-rest__1	datatype-func_run-01_suffix-bold_task-rest	1				221				0.03	0.000510012	222	52	False			func	6.0	60					1.0	j	0.8	0.045391	False			
			acquisition-VARIANTEchoTimeEffectiveEchoSpacingTotalReadoutTime_datatype-func_run-01_suffix-bold_task-rest	datatype-func_run-01_suffix-bold_task-rest__2	datatype-func_run-01_suffix-bold_task-rest	2				1				0.032	0.000540003	222	52	False			func	6.0	60					1.0	j	0.8	0.0480603	False			
				datatype-func_run-01_suffix-bold_task-nback__1	datatype-func_run-01_suffix-bold_task-nback	1				211				0.03	0.000510012	211	52	False			func	6.0	60					1.0	j	0.8	0.045391	False			
				datatype-func_run-02_suffix-bold_task-rest__1	datatype-func_run-02_suffix-bold_task-rest	1				205				0.03	0.000510012	205	52	False			func	6.0	60					1.0	j	0.8	0.045391	False			
				datatype-func_run-02_suffix-bold_task-nback__1	datatype-func_run-02_suffix-bold_task-nback	1				14				0.03	0.000510012	14	52	False			func	6.0	60					1.0	j	0.8	0.045391	False			
				datatype-func_run-03_suffix-bold_task-rest__1	datatype-func_run-03_suffix-bold_task-rest	1				11				0.03	0.000510012	11	52	False			func	6.0	60					1.0	j	0.8	0.045391	False			
				datatype-func_run-03_suffix-bold_task-nback__1	datatype-func_run-03_suffix-bold_task-nback	1				1				0.03	0.000510012	1	52	False			func	6.0	60					1.0	j	0.8	0.045391	False			
				echo-1_run-01_suffix-qsm__1	echo-1_run-01_suffix-qsm	1				181				0.0075		181	15	False			other		0				2.0	1.0	i	0.035		False			
				echo-1_run-02_suffix-qsm__1	echo-1_run-02_suffix-qsm	1				181				0.0075		181	15	False			other		0				2.0	1.0	i	0.035		False			
				echo-2_run-01_suffix-qsm__1	echo-2_run-01_suffix-qsm	1				181				0.015		181	15	False			other		0				2.0	1.0	i	0.035		False			
				echo-2_run-02_suffix-qsm__1	echo-2_run-02_suffix-qsm	1				181				0.015		181	15	False			other		0				2.0	1.0	i	0.035		False			
				echo-3_run-01_suffix-qsm__1	echo-3_run-01_suffix-qsm	1				181				0.0225		181	15	False			other		0				2.0	1.0	i	0.035		False			
				echo-3_run-02_suffix-qsm__1	echo-3_run-02_suffix-qsm	1				181				0.0225		181	15	False			other		0				2.0	1.0	i	0.035		False			
				echo-4_run-01_suffix-qsm__1	echo-4_run-01_suffix-qsm	1				181				0.03		181	15	False			other		0				2.0	1.0	i	0.035		False			
				echo-4_run-02_suffix-qsm__1	echo-4_run-02_suffix-qsm	1				181				0.03		181	15	False			other		0				2.0	1.0	i	0.035		False			
				datatype-perf_run-01_suffix-asl__1	datatype-perf_run-01_suffix-asl	1	PCASL	True	2.0	111				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.29842		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__2	datatype-perf_run-01_suffix-asl	2	PCASL	True	2.0	66				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.29845		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__3	datatype-perf_run-01_suffix-asl	3	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		5.28614		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__4	datatype-perf_run-01_suffix-asl	4	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		10.0483		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__5	datatype-perf_run-01_suffix-asl	5	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.47108		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__6	datatype-perf_run-01_suffix-asl	6	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		5.75174		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__7	datatype-perf_run-01_suffix-asl	7	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		6.78522		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__8	datatype-perf_run-01_suffix-asl	8	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.36497		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__9	datatype-perf_run-01_suffix-asl	9	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.47155		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__10	datatype-perf_run-01_suffix-asl	10	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.49115		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__11	datatype-perf_run-01_suffix-asl	11	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.92427		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__12	datatype-perf_run-01_suffix-asl	12	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		5.62785		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__13	datatype-perf_run-01_suffix-asl	13	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.75427		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-asl	datatype-perf_run-01_suffix-asl__14	datatype-perf_run-01_suffix-asl	14	PCASL	True	2.0	1				0.01003		189	90	False		Separate	perf		0			unbalanced		1.0		4.5125		False			
				datatype-perf_run-01_suffix-m0scan__1	datatype-perf_run-01_suffix-m0scan	1				180				0.01003		189	90	False			perf		0					1.0		4.0		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__2	datatype-perf_run-01_suffix-m0scan	2				1				0.01003		189	90	False			perf		0					1.0		4.9633		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__3	datatype-perf_run-01_suffix-m0scan	3				1				0.01003		189	90	False			perf		0					1.0		5.5897		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__4	datatype-perf_run-01_suffix-m0scan	4				1				0.01003		189	90	False			perf		0					1.0		4.1684		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__5	datatype-perf_run-01_suffix-m0scan	5				1				0.01003		189	90	False			perf		0					1.0		5.4174		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__6	datatype-perf_run-01_suffix-m0scan	6				1				0.01003		189	90	False			perf		0					1.0		6.4254		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__7	datatype-perf_run-01_suffix-m0scan	7				1				0.01003		189	90	False			perf		0					1.0		4.0649		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__8	datatype-perf_run-01_suffix-m0scan	8				1				0.01003		189	90	False			perf		0					1.0		4.6104		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__9	datatype-perf_run-01_suffix-m0scan	9				1				0.01003		189	90	False			perf		0					1.0		5.2966		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-01_suffix-m0scan	datatype-perf_run-01_suffix-m0scan__10	datatype-perf_run-01_suffix-m0scan	10				1				0.01003		189	90	False			perf		0					1.0		4.4446		True			
				datatype-perf_run-02_suffix-asl__1	datatype-perf_run-02_suffix-asl	1	PCASL	True	2.0	2				0.01003		4	90	False		Separate	perf		0			unbalanced		1.0		4.29842		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-02_suffix-asl	datatype-perf_run-02_suffix-asl__2	datatype-perf_run-02_suffix-asl	2	PCASL	True	2.0	1				0.01003		4	90	False		Separate	perf		0			unbalanced		1.0		5.92839		False			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-02_suffix-asl	datatype-perf_run-02_suffix-asl__3	datatype-perf_run-02_suffix-asl	3	PCASL	True	2.0	1				0.01003		4	90	False		Separate	perf		0			unbalanced		1.0		4.39958		False			
				datatype-perf_run-02_suffix-m0scan__1	datatype-perf_run-02_suffix-m0scan	1				3				0.01003		4	90	False			perf		0					1.0		4.0		True			
			acquisition-VARIANTRepetitionTime_datatype-perf_run-02_suffix-m0scan	datatype-perf_run-02_suffix-m0scan__2	datatype-perf_run-02_suffix-m0scan	2				1				0.01003		4	90	False			perf		0					1.0		5.5897		True			
